store_id,shelf_id,sku_id,facings
3000,1,50196,1
3000,1,50626,1
3000,1,50050,1
3000,1,50468,2
3000,1,50447,1
3000,1,50701,1
3000,1,50064,1
3000,2,50279,1
3000,2,50802,1
3000,2,50951,1
3000,2,50733,2
3000,2,50741,1
3000,2,50339,1
3000,3,50940,2
3000,3,50511,1
3000,3,50997,1
3000,3,50295,2
3000,3,50800,2
3000,3,50568,1
3000,3,50762,2
3000,4,50769,2
3000,4,50888,1
3000,4,50790,1
3000,4,50342,1
3000,4,50832,1
3000,4,50853,1
3000,5,50724,1
3000,5,50555,1
3000,5,50426,1
3000,5,50760,1
3000,5,50309,1
3000,5,50777,1
3000,6,50914,1
3000,6,50360,1
3000,6,51000,1
3000,6,50013,2
3000,7,50725,2
3000,7,50721,1
3000,7,50718,2
3000,7,50778,1
3000,7,50252,1
3000,7,50367,1
3000,7,50984,1
3000,8,50348,1
3000,8,50246,1
3000,8,50034,2
3000,8,50946,2
3000,8,50206,1
3000,9,50152,1
3000,9,50659,1
3000,9,50370,1
3000,9,50578,1
3000,9,50856,1
3000,9,50744,1
3000,10,50564,1
3000,10,50007,2
3000,10,50821,1
3000,10,50315,2
3000,10,50226,1
3000,11,50496,2
3000,11,50203,1
3000,11,50736,1
3000,11,50420,1
3000,11,50397,1
3000,11,50047,1
3000,12,50684,1
3000,12,50967,1
3000,12,50988,1
3000,12,50218,1
3000,12,50913,1
3000,12,50240,2
3000,13,50436,1
3000,13,50314,1
3000,13,50274,1
3000,13,50014,1
3000,13,50948,1
3000,13,50431,1
3000,14,50388,1
3000,14,50033,2
3000,14,50338,1
3000,14,50932,1
3000,15,50204,1
3000,15,50351,1
3000,15,50548,2
3000,15,50491,1
3000,15,50109,2
3000,15,50871,1
3000,16,50600,1
3000,16,50999,1
3000,16,50688,2
3000,16,50077,1
3000,16,50081,1
3000,16,50876,1
3000,16,50159,1
3000,17,50749,2
3000,17,50711,2
3000,17,50076,2
3000,17,50851,2
3000,17,50040,2
3000,17,50456,1
3000,18,50113,1
3000,18,50483,1
3000,18,50318,1
3000,18,50713,1
3000,18,50116,1
3000,19,50017,1
3000,19,50980,1
3000,19,50811,1
3000,19,50183,2
3000,19,50244,2
3000,19,50178,1
3000,20,50333,2
3000,20,50346,2
3000,20,50956,1
3000,20,50366,1
3000,20,50503,1
3000,20,50577,1
3000,20,50612,1
3000,21,50444,1
3000,21,50043,1
3000,21,50377,1
3000,21,50717,1
3000,21,50950,1
3000,21,50477,1
3000,22,50679,1
3000,22,50220,2
3000,22,50489,1
3000,22,50003,1
3000,22,50337,1
3000,23,50210,1
3000,23,50125,1
3000,23,50987,1
3000,23,50781,1
3000,24,50628,1
3000,24,50580,2
3000,24,50363,1
3000,24,50030,2
3000,24,50903,1
3000,24,50553,1
3000,25,50389,1
3000,25,50086,2
3000,25,50462,1
3000,25,50963,1
3000,25,50845,1
3000,25,50602,1
3000,25,50300,1
3000,25,50668,1
3000,26,50993,1
3000,26,50954,2
3000,26,50027,1
3000,26,50384,1
3000,26,50686,2
3000,26,50750,1
3000,27,50692,2
3000,27,50543,2
3000,27,50522,1
3000,27,50518,2
3000,27,50617,1
3000,27,50743,2
3000,28,50919,1
3000,28,50615,1
3000,28,50857,1
3000,28,50998,1
3000,28,50365,1
3000,29,50336,1
3000,29,50381,1
3000,29,50199,1
3000,29,50461,1
3000,29,50595,1
3000,29,50896,1
3000,30,50032,1
3000,30,50964,1
3000,30,50269,2
3000,30,50512,1
3000,30,50149,2
3000,30,50172,1
3000,31,50025,1
3000,31,50134,2
3000,31,50233,1
3000,31,50656,2
3000,31,50635,1
3000,31,50271,1
3000,32,50822,1
3000,32,50345,1
3000,32,50561,1
3000,32,50943,1
3000,32,50542,2
3000,32,50163,1
3000,32,50535,1
3000,32,50610,1
3000,33,50536,1
3000,33,50177,1
3000,33,50387,1
3000,33,50499,2
3000,33,50930,1
3000,34,50992,2
3000,34,50243,2
3000,34,50306,1
3000,34,50945,1
3000,34,50794,1
3000,34,50771,2
3000,34,50921,1
3000,34,50144,1
3000,35,50497,1
3000,35,50975,2
3000,35,50709,1
3000,35,50925,2
3000,36,50637,1
3000,36,50875,1
3000,36,50083,1
3000,36,50775,1
3000,36,50432,1
3000,36,50715,1
3000,36,50693,1
3000,37,50770,2
3000,37,50989,2
3000,37,50685,1
3000,37,50229,1
3000,37,50469,2
3000,37,50616,1
3000,38,50670,2
3000,38,50707,2
3000,38,50299,1
3000,38,50697,2
3000,38,50452,2
3000,38,50261,1
3000,39,50002,1
3000,39,50356,1
3000,39,50350,1
3000,39,50907,1
3000,39,50833,1
3000,39,50282,2
3000,39,50340,1
3000,40,50958,1
3000,40,50904,1
3000,40,50132,1
3000,40,50838,1
3000,40,50223,1
3000,41,50250,1
3000,41,50222,1
3000,41,50576,1
3000,41,50398,1
3000,41,50278,2
3000,41,50301,1
3000,42,50939,1
3000,42,50371,2
3000,42,50415,1
3000,42,50253,2
3000,42,50773,1
3000,42,50505,1
3000,43,50179,1
3000,43,50390,1
3000,43,50597,1
3000,43,50416,1
3000,43,50657,1
3000,44,50018,1
3000,44,50402,2
3000,44,50861,1
3000,44,50601,2
3000,44,50524,2
3000,44,50702,1
3000,44,50966,1
3000,44,50146,2
3000,45,50239,1
3000,45,50437,1
3000,45,50909,1
3000,45,50504,2
3000,45,50074,1
3000,45,50012,1
3000,45,50530,1
3000,46,50211,1
3000,46,50952,2
3000,46,50887,1
3000,46,50874,2
3000,46,50672,1
3000,46,50368,1
3000,46,50554,2
3000,47,50569,1
3000,47,50369,1
3000,47,50117,2
3000,47,50798,2
3000,47,50327,1
3000,47,50065,1
3000,48,50918,1
3000,48,50291,1
3000,48,50908,1
3000,48,50824,1
3000,48,50150,2
3000,48,50587,2
3000,48,50675,2
3000,49,50807,2
3000,49,50494,1
3000,49,50836,1
3000,49,50641,1
3000,49,50665,1
3000,49,50476,1
3000,50,50166,2
3000,50,50011,1
3000,50,50026,1
3000,50,50852,1
3000,50,50941,1
3000,51,50816,1
3000,51,50789,1
3000,51,50704,1
3000,51,50089,1
3000,51,50634,1
3000,51,50739,1
3000,51,50695,1
3000,52,50234,2
3000,52,50661,1
3000,52,50051,1
3000,52,50677,1
3000,52,50572,1
3000,52,50969,1
3000,52,50115,1
3000,53,50460,2
3000,53,50706,2
3000,53,50513,1
3000,53,50056,1
3000,53,50894,1
3000,54,50221,1
3000,54,50705,1
3000,54,50317,1
3000,54,50566,1
3000,54,50353,2
3000,55,50394,1
3000,55,50118,1
3000,55,50217,1
3000,55,50395,1
3000,55,50541,1
3000,55,50224,1
3000,56,50850,1
3000,56,50623,1
3000,56,50763,1
3000,56,50740,1
3000,56,50227,1
3000,56,50588,1
3000,57,50694,1
3000,57,50247,1
3000,57,50783,1
3000,57,50277,1
3000,57,50735,1
3000,57,50142,2
3000,58,50557,1
3000,58,50189,1
3000,58,50352,1
3000,58,50385,1
3000,58,50983,2
3000,58,50890,1
3000,59,50122,1
3000,59,50565,1
3000,59,50147,1
3000,59,50231,2
3000,59,50484,1
3000,59,50078,1
3000,60,50646,1
3000,60,50090,1
3000,60,50069,1
3000,60,50915,1
3000,60,50519,1
3000,60,50734,1
3000,61,50844,1
3000,61,50284,2
3000,61,50620,1
3000,61,50361,1
3000,61,50655,1
3000,61,50062,2
3000,61,50131,1
3000,62,50009,1
3000,62,50818,1
3000,62,50663,1
3000,62,50485,1
3000,62,50308,1
3000,63,50137,1
3000,63,50653,1
3000,63,50411,1
3000,63,50052,1
3000,63,50854,1
3000,64,50176,1
3000,64,50779,1
3000,64,50042,1
3000,64,50834,2
3000,65,50546,1
3000,65,50055,1
3000,65,50039,1
3000,65,50621,1
3000,66,50275,1
3000,66,50727,1
3000,66,50897,1
3000,66,50652,1
3000,66,50810,1
3000,66,50589,1
3000,67,50037,1
3000,67,50498,1
3000,67,50451,1
3000,67,50885,2
3000,67,50731,2
3000,67,50184,2
3000,68,50647,2
3000,68,50028,1
3000,68,50409,2
3000,68,50514,2
3000,68,50472,1
3000,68,50681,1
3000,69,50986,1
3000,69,50359,1
3000,69,50549,1
3000,69,50313,1
3000,69,50071,2
3000,69,50737,1
3000,69,50910,1
3000,70,50272,1
3000,70,50899,1
3000,70,50869,1
3000,70,50024,1
3000,70,50036,1
3000,71,50263,1
3000,71,50067,1
3000,71,50161,1
3000,71,50889,1
3000,71,50048,1
3000,71,50289,2
3000,71,50846,2
3000,71,50194,1
3000,71,50804,1
3000,72,50860,1
3000,72,50347,2
3000,72,50285,1
3000,72,50618,1
3000,72,50827,1
3000,72,50796,1
3000,73,50575,1
3000,73,50786,1
3000,73,50581,1
3000,73,50470,1
3000,73,50425,2
3000,74,50354,1
3000,74,50826,1
3000,74,50180,2
3000,74,50095,1
3000,74,50689,1
3000,75,50574,1
3000,75,50865,1
3000,75,50584,1
3000,76,50292,2
3000,76,50126,1
3000,76,50212,1
3000,76,50955,1
3000,76,50622,2
3000,76,50882,1
3000,76,50791,1
3000,77,50404,1
3000,77,50873,1
3000,77,50728,1
3000,77,50881,2
3000,77,50732,2
3000,77,50604,1
3000,78,50813,1
3000,78,50160,1
3000,78,50636,1
3000,78,50901,1
3000,78,50624,2
3000,78,50358,2
3000,79,50258,1
3000,79,50508,1
3000,79,50916,2
3000,79,50754,1
3000,79,50174,1
3000,79,50886,1
3000,80,50606,1
3000,80,50121,1
3000,80,50341,1
3000,80,50644,1
3000,80,50671,1
3000,80,50793,1
3000,81,50020,1
3000,81,50738,1
